
"Drew Lock","Derrick Henry","Kenyan Drake","Davante Adams","Robby Anderson","Tim Patrick","T.J. Hockenson","A.J. Green","Seahawks ","360.2"
"Drew Lock","Austin Ekeler","Jonathan Taylor","Davante Adams","A.J. Brown","Tim Patrick","Irv Smith Jr.","Curtis Samuel","Seahawks ","280.7"
"Mitchell Trubisky","Dalvin Cook","Austin Ekeler","Brandin Cooks","Darnell Mooney","Marquez Valdes-Scantling","T.J. Hockenson","James Robinson","Seahawks ","326.2"
"Mitchell Trubisky","Derrick Henry","James Robinson","Brandin Cooks","Chris Godwin","Darnell Mooney","Robert Tonyan","Melvin Gordon III","Saints ","267.9"
"Tua Tagovailoa","David Montgomery","Todd Gurley II","Corey Davis","DeVante Parker","Tyler Lockett","Travis Kelce","KJ Hamler","Saints ","279.3"
"Drew Lock","Aaron Jones","Alvin Kamara","Corey Davis","Tim Patrick","Curtis Samuel","Travis Kelce","Nelson Agholor","Seahawks ","310.2"
"Drew Lock","Chris Carson","Wayne Gallman Jr.","Davante Adams","Robby Anderson","Darnell Mooney","Travis Kelce","KJ Hamler","Saints ","314.1"
"Drew Lock","Austin Ekeler","J.D. McKissic","Davante Adams","Robby Anderson","Tim Patrick","T.J. Hockenson","T.Y. Hilton","Titans ","289.9"
"Mitchell Trubisky","Alvin Kamara","James Robinson","Keenan Allen","Brandin Cooks","Corey Davis","T.J. Hockenson","Darnell Mooney","49ers ","225.9"
"Drew Lock","Derrick Henry","David Montgomery","Mike Evans","Curtis Samuel","Russell Gage","Travis Kelce","KJ Hamler","Seahawks ","298.1"
"Drew Lock","James Robinson","Josh Jacobs","Keenan Allen","Tim Patrick","Tyler Lockett","Evan Engram","Curtis Samuel","Cowboys ","299.3"
"Drew Lock","Derrick Henry","Aaron Jones","Robby Anderson","Chris Godwin","Darnell Mooney","Darren Waller","KJ Hamler","Saints ","263.4"
"Drew Lock","Derrick Henry","DeAndre Washington","Keenan Allen","Justin Jefferson","Tim Patrick","T.J. Hockenson","Curtis Samuel","Texans ","265.5"
"Drew Lock","Aaron Jones","James Robinson","Keenan Allen","Robby Anderson","KJ Hamler","Rob Gronkowski","Giovani Bernard","Seahawks ","303.4"
"Drew Lock","Aaron Jones","Ronald Jones II","Calvin Ridley","Tim Patrick","Curtis Samuel","T.J. Hockenson","Jamison Crowder","Saints ","278.6"
"Tua Tagovailoa","Mike Davis","James Robinson","Tyreek Hill","Chris Godwin","Mack Hollins","Robert Tonyan","J.D. McKissic","Saints ","267.2"
"Drew Lock","Dalvin Cook","Chris Carson","Calvin Ridley","Tim Patrick","Curtis Samuel","Jimmy Graham","J.D. McKissic","Saints ","296.0"
